头号玩家,2018,8.7,1142862
电锯惊魂,2004,8.7,428661
我是山姆,2001,9.0,261664
风之谷,1984,8.9,308138
上帝之城,2002,9.0,256907
英雄本色,1986,8.7,429330
卢旺达饭店,2004,8.9,259349
疯狂原始人,2013,8.7,715254
谍影重重3,2007,8.8,353092
三块广告牌,2017,8.7,687933
新世界,2013,8.9,303334
花样年华,2000,8.7,478113
模仿游戏,2014,8.7,508175
纵横四海,1991,8.8,340581
黑客帝国3：矩阵革命,2003,8.8,355659
达拉斯买家俱乐部,2013,8.8,371812
岁月神偷,2010,8.7,504282
头脑特工队,2015,8.7,490744
心迷宫,2014,8.7,412064
你的名字。,2016,8.4,1141115
记忆碎片,2000,8.7,510559
寄生虫,2019,8.8,1131063
忠犬八公物语,1987,9.2,158108
荒蛮故事,2014,8.8,356308
海街日记,2015,8.8,350001
爆裂鼓手,2014,8.7,468144
真爱至上,2003,8.6,602554
贫民窟的百万富翁,2008,8.6,632791
惊魂记,1960,9.0,211596
东邪西毒,1994,8.6,489923
哈利·波特与火焰杯,2005,8.6,467736
萤火虫之墓,1988,8.7,353627
黑天鹅,2010,8.6,689749
小偷家族,2018,8.7,688167
绿里奇迹,1999,8.9,250922
无敌破坏王,2012,8.7,439407
你看起来好像很好吃,2010,8.9,281188
冰川时代,2002,8.6,517274
爱在午夜降临前,2013,8.8,293477
九品芝麻官,1994,8.6,503817
雨人,1988,8.7,343953
疯狂的石头,2006,8.5,667153
恋恋笔记本,2004,8.5,544463
恐怖游轮,2009,8.5,658878
雨中曲,1952,9.1,172028
魔女宅急便,1989,8.7,380457
奇迹男孩,2017,8.6,475183
色，戒,2007,8.5,583166
2001太空漫游,1968,8.8,244824
虎口脱险,1966,8.9,199791
海边的曼彻斯特,2016,8.6,401050
人工智能,2001,8.7,364433
可可西里,2004,8.8,245941
城市之光,1931,9.3,111711
房间,2015,8.8,322658
二十二,2015,8.7,243128
罗生门,1950,8.8,254114
初恋这件小事,2010,8.4,849454
终结者2：审判日,1991,8.7,288804
大佛普拉斯,2017,8.7,343874
遗愿清单,2007,8.7,333961
牯岭街少年杀人事件,1991,8.9,216784
波西米亚狂想曲,2018,8.7,481093
源代码,2011,8.5,684688
魂断蓝桥,1940,8.8,229708
新龙门客栈,1992,8.6,365900
青蛇,1993,8.6,425305
疯狂的麦克斯4：狂暴之路,2015,8.6,432232
无耻混蛋,2009,8.6,394254
步履不停,2008,8.8,222868
血钻,2006,8.7,304103
燃情岁月,1994,8.8,242701
东京教父,2003,9.0,151972
海洋,2009,9.1,140640
无间道2,2003,8.6,349700
彗星来的那一夜,2013,8.5,435309
谍影重重2,2004,8.7,295985
穿越时空的少女,2006,8.6,327680
战争之王,2005,8.7,294071
阿飞正传,1990,8.5,414198
地球上的星星,2007,8.9,173971
完美陌生人,2016,8.5,452896
谍影重重,2002,8.6,353780
千钧一发,1997,8.8,219463
香水,2006,8.5,466856
东京物语,1953,9.2,110951
黑客帝国2：重装上阵,2003,8.6,315123
崖上的波妞,2008,8.6,385123
我爱你,2011,9.1,136079
再次出发之纽约遇见你,2013,8.6,352768
朗读者,2008,8.6,399114
驴得水,2016,8.3,768891
聚焦,2015,8.8,235600
浪潮,2008,8.7,229154
猜火车,1996,8.5,365188
小萝莉的猴神大叔,2015,8.4,414403
茶馆,1982,9.5,70407
追随,1998,8.9,152870
黑鹰坠落,2001,8.7,245669
